q1,q2,type_lvb,explicit_lvb,ans1,ans2,type_given,source
What factors are responsible for teachers’ productivity?,How can teachers be encouraged to be more productive?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_3.csv
What further training or additional courses should would-be teachers be required to take?,How would these courses improve overall teacher quality?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_2.csv
What happened to the free buffets that were standard in Las Vegas casinos?,Food is so expensive in Vegas now.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
What happens when dogs eat human medicine by accident?,"My girlfriend's dog just ate some cold medicine, and zantac.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_4.csv
What if I forget my password for my e-mail?,How can I get a new password?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_2.csv
"What is """"bp"""" in terms of Treasury bonds?","For example , both deals ultimately worked well after the spread talk had been widened by 8bp or 9bp.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_1.csv
What is a good family hotel in Las Vegas?,I am looking for a place that would be good for a four year old and a ten year old.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
What is a good free anti virus program?,What do you recommend?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_2.csv
What is a good site online to get hazards/precautions  for a wide range of chemicals?,"For example, I need to know the hazards of sodium phenoxide and many others.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_1.csv
What is a good spice to use on vegetables served with steak?,"For instance, I was thinking of boiled carrots.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
What is a redneck?,I've heard people say that some southerners are rednecks.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_2.csv
What is a toboggan?,Is it a hat?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_3.csv
What is an asynchronous operation?,Give an example if possible.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
What is best hotel in Los Angeles?,How good is The Westin Bonaventure Hotel and Suites?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_4.csv
What is cole slaw?,Is it good to eat?,separable,,,,WhQ-PolarQ,bonnies_data/msq_dataset_1.csv
What is cultural relativism?,Explain both advantatages and disadvantages of practicing it and give an example.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
What is customer behaviour?,Is customer behaviour a pavlovian reflex or personal choice?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_5.csv
What is del.icio.us?,Is it a blogging site?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_4.csv
What is Error Code: 15 80070057?,How do I fix this problem?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_5.csv
What is meant by fibre reinforced concrete?,Explain the difference between blending and segregation of concrete.,separable,,,,WhQ-S,bonnies_data/msq_dataset_4.csv
What is MUSKEGON HOLLAND?,Is it a neighborhood or a city?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_3.csv
What is scalding milk?,How does scalding milk compare to boiling it?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_1.csv
"What is the adjective for """"of the head""""?","For example, a disease of the lungs is referred to as a pulmonary one.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
"What is the best (comprehensive, upto date, quality of review) web resource for FREE online ratings of Wine?",I know of a number of paid services but I would like to save money and get ratings/reviews without paying.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
What is the best cafe in San Francisco?,"I'm always looking for a good place to sit and read on the weekends, with good coffee, atmosphere and parking being top priorities.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_6.csv
What is the best caliber to hunt southern whitetails with?,The shots will be 100 yards or less in wooded areas.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_2.csv
What is the best luau in Waikiki?,"I am looking for a good, authentic luau, not too expensive, not too far from Waikiki.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
What is the best method to gain a seat at a Proprietary Trading firm?,What is the process?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_0.csv
"What is the best movie of all time, in any language?",I can't decide what to order next from Netflix.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
What is the best programming language?,Why is it the best?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_5.csv
"What is the best Tennis club in or near Sunnyvale, CA?",I'd like to find a tennis club that has indoor courts and a variety of events that help you find other players to play with.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_0.csv
What is the difference between permutations and combinations?,The formulas would be helpful as well.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_0.csv
What is the distance from the human habitat to the the place where landfill can be constructed?,Give an approximate length of this distance.,reformulation,,,,WhQ-S,bonnies_data/msq_dataset_1.csv
"What is the easiest GUI toolkit for python, with good documentation?",Please explain why it is easier/better than other options.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_2.csv
What is the English word to describe if a person is both left handed and as well as right handed?,"For example, a tennis player uses his/her left hand for playing tennis and uses his/her right hand for writing.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_0.csv
What is the history of Crater Lake?,"On the flight from San Jose to Seattle, I saw Crater Lake and wondered how did Crater Lake come about.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
What is the longest running show ever created?,How many episodes were included?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_1.csv
What is the longest song ever recorded?,What is the title/artist/length?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_0.csv
What is the minimum score needed to get a first-time home-owners mortgage?,What is the Maximum Income to qualify for first time Home-buying grants?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_3.csv
What is the nutrition content of almonds?,Are they better for you than peanuts?,separable,,,,WhQ-PolarQ,bonnies_data/msq_dataset_4.csv
"What is the origin of """"foobar""""?",I want to know the meaning of the word and how to explain it to my friends.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
What is the origin of the name 'Soccer'?,"The rest of the world call this game 'football', which is self explanatory.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_2.csv
What is the snake for on the doctor's symbol?,Where does that come from?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_2.csv
What is the treatment for Crohn's Disease?,Is there a diet regime for Crohn Disease?,separable,,,,WhQ-PolarQ,bonnies_data/msq_dataset_0.csv
What is Vlad the Impaler's claim to fame?,"Give me background and references, please.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_4.csv
What should I have in my disaster emergency kit stored out side my house?,I am asking because FIMA is estimating that the next big disaster will be a more than 7.0 earthquake in CA.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
What should I offer for Christmas to my grand'ma?,She is 92 years old.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_1.csv
What software can we use to change a word file into a pdf file?,Give commonly used softwares that are available in the market.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
What types of things increase the value of your house when trying to sell?,"For example, I am considering replacement windows, siding, carpet and so forth.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
What US city is recognized as the oldest settlement and is still there today?,Tell me more about this city.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_4.csv
What was the slaughter in 1994 in Rwanda about?,Please explain what happened and why.,separable,,,,WhQ-S,bonnies_data/msq_dataset_1.csv
What web site is good for stock markets?,"I'm talking about good analysts, news and most importantly graphs.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_1.csv
What were the July ordinances?,What was the significance of it?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_4.csv
What year is  too late to get marrid to a young lady?,"Actually, I am 29  and sometimes I think I am too old.",elaborative,,,,WhQ-S,bonnies_data/msq_dataset_3.csv
What's the best dog for a small apartment?,What kind of dog should I get for my small apartment in the city?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_4.csv
What's the best strategy for a first-time homeowner in getting the best mortgage rate?,I've been saving up and will be ready to start shopping around for a mortgage this spring.,elaborative,,,,WhQ-S,bonnies_data/msq_dataset_1.csv
What's the best technique for determining the valuation of a very early stage startup?,"By very early stage, I mean - basically a business plan, and a lot of market research.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_0.csv
What's the best way to create a bootable Windows/DOS CD?,I don't use floppies any more and need to boot from something other than my hard disk.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
What's the cheapest car insurance?,I'm in Illinois.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_4.csv
"What's the difference between """"Ghost"""" and """"Phantom""""?","Why is it """"Phantom of the Opera"""", and not """"Ghost of the Opera""""?",separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_3.csv
What's the difference between a population and a sample?,Give an example please.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
What's the difference between monkeys and chimps?,Is it their size?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_2.csv
What's the Hacker's Diet?,Has anyone tried it?,separable,,,,WhQ-PolarQ,bonnies_data/msq_dataset_5.csv
What's your definition of Web 2.0?,It seems to mean different things and different technologies to different people.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_6.csv
What’s a blog?,Give a detailed explanation.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_1.csv
What’s the best mileage credit card?,I am using United Airline's mileage credit card.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_4.csv
What’s the best way to defend ourself?,Can you suggest any home made instrument?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_5.csv
What’s the difference between an Old World Monkey and an Ape?,Give me 4 differences.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
When did India develop the caste system?,What year was the caste system put into circulation?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_5.csv
When do postage increases go into effect?,Will overseas postage also be affected?,separable,,,,WhQ-PolarQ,bonnies_data/msq_dataset_3.csv
When is downloading music illegal?,"For example, downloading music is illegal on iPods.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_1.csv
when is the next ODI match between south africa and india?,Tell me the exact date,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_0.csv
When was basketball invented?,What year was basketball invented?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_4.csv
When was Jesus Christ born?,Is it really on 25th December?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_3.csv
When was the King James version first published?,What year was it published?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_5.csv
When's the least expensive time to travel to Disneyland and which airport is closest?,"We are a family of four and I'm interested in making a 5 day ,4 night trip to Disneyland.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_2.csv
Where are some good AJAX tutorials and demos?,I'd like the site to explain what the code does and allow you to download the source.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_4.csv
Where can I buy net curtains?,I need the ones that are transparent from the inside but you can't see through from the outside.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
Where can I buy sloane jeans?,They used to be sold at Spiegel.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
Where can I find a list of street names for any city/town in the US?,I would like to find a source that can provide a list of all street names for a given city/town in the US.,reformulation,,,,WhQ-S,bonnies_data/msq_dataset_3.csv
Where can I find fresh/frozen mackerel in the bay area?,I'm looking for fresh mackerel to smoke.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_2.csv
Where can I find great ramen in San Francisco?,"There used to be this great spot on Judah, but it's gone.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
Where can I find help learning the history of clothing?,I need to know what people wore in earlier times and the costumes of people in different countries.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
Where can I find my family crest online for free?,I’m trying to find a printable version of it for a tatoo.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_1.csv
Where can I learn all about flags?,I need to find out what a flag's colors mean and its history.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_6.csv
Where do babies come from?,I'm really looking for ways to answer this when my son asks in a few years.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_1.csv
Where in Nevada does Lori Zwick live?,What's her phone number?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_1.csv
Where is a good place to buy fresh fish for Sushi?,I need to find a place in or around Long Beach where I can buy fresh fish meat for making sushi.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
Where is the best karaoke club (KTV) in the South Bay?,"I am looking for KTV with private rooms, not a karaoke bar.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_0.csv
Where on the web can I download the original arcade version of Mortal Kombat and play it on my computer?,I want to also download the arcade version of Mortal Kombat 2.,separable,,,,WhQ-S,bonnies_data/msq_dataset_0.csv
Where to purchase a digital scale to weigh food?,I work out a lot and eat only certain kinds of food and I have to be able to weigh certain meats in ounces.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_0.csv
Where's the best place to get my FICO score?,"I don't want to pay a lot, or get sucked into a scam to buy more services.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_1.csv
Who are the top 20 richest people in the world now?,Does google founder counts?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_5.csv
Who holds the all-time best selling album?,Give the name of the artist and the title of the album.,reformulation,,,,WhQ-S,bonnies_data/msq_dataset_1.csv
Who invented blue jeans?,I am interested in the history of a fashion classic which has survived for so long and is acceptable almost globally.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_2.csv
Who is the Jack Russell Terrier named after?,Is it a man named Jack Russell?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_0.csv
Who is the oldest person to live in the United States?,Give me a list of people that lived the longest beyond others.,elaborative,,,,WhQ-S,bonnies_data/msq_dataset_0.csv
Who is the parent company of Loreal?,What company owns Loreal?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_4.csv
Who scored the most points in their career?,What NBA player scored the most points ever in the NBA?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_2.csv
Who serves in table tennis when someone gets to game point?,I have heard both that the player with game point serves and also that the player losing serves it out.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
"Who was a better western actor, Clint Eastwood or John Wayne?",What was the best Western movie?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_1.csv
Who was the fifteenth president?,I have forgotten my US history.,elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_2.csv
Who was the first man to climb all the 8.000 m mountains in the world?,"I mean 8k meters (26k feet) or plus, of course.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
Why are classic rock songs so long?,"For example, Dazed and Confused (Led Zeppelin) on the BBC Sessions is 18 minutes long.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_2.csv
Why are truffles so expensive?,What is the world's most expensive truffle?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_6.csv
Why do Bratz dolls have such large heads compared to their body size?,"Why do these dolls have disproportionately large heads, eyes and mouths?",reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_2.csv
Why do frozen foods invariably have such high sodium levels?,Is this a by-product of producing the food or preserving it?,elaborative,,,,WhQ-PolarQ,bonnies_data/msq_dataset_6.csv
Why do I sound different when I hear my own voice?,Why do I sound different when I listen to my own voice on the answering machine or tape recorder?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_5.csv
Why do people amputate dogs tail?,What is the reason that some types of dog are considered to be better off with out their tail?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_2.csv
Why do some days seem to last longer than others?,"Yesterday was the worst, today has flown by.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_4.csv
Why do we buy Christmas trees at Christmas?,What is the history of this behavior?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_5.csv
Why does a person's allergies change over time?,"As a child, a person might not be allergic to cherries and then as an adult they become allergic.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
Why does my hand get cold sometimes?,"For example , when I am in a public place like a meeting, I might be a little anxious or nervous and my hand starts to get cold.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
Why does PayPal want me to confirm my bank account?,What are the pros and cons of doing this?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_3.csv
Why is a bruise called black and blue?,Why not other colors that sometimes appear?,elaborative,,,,WhQ-WhQ,bonnies_data/msq_dataset_1.csv
Why is Christmas on December 25 every year?,How did it come about?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_4.csv
Why is the sweet flavor so good?,Why do humans (and other animals) perceive the sweet flavor as pleasant?,reformulation,,,,WhQ-WhQ,bonnies_data/msq_dataset_1.csv
Why is the temperature generally lower at higher altitude than lower altitude for the same latitude?,"For example, a mountain top  is cooler than the bottom.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_3.csv
Why is there often a mirror in an elevator?,What is the history behind it?,separable,,,,WhQ-WhQ,bonnies_data/msq_dataset_3.csv
Why isn't lacrosse a sub-category under sports?,"After all, it is the fastest growing sport in the United States.",elaborative,y,,,WhQ-S,bonnies_data/msq_dataset_5.csv
Will a UK cordless phone work in Spain?,"For example, I have the Philips Onis 300 Vox Duo Digital.",elaborative,y,,,PolarQ-S,bonnies_data/msq_dataset_3.csv
Will the cost of LCD computer monitors continue to drop?,"Specifically, I want to know more about larger monitors (20+ inches).",elaborative,y,,,PolarQ-S,bonnies_data/msq_dataset_1.csv
Will yahoo get user chat rooms back?,Will yahoo ever put back the chat room made by the users?,reformulation,,,,PolarQ-PolarQ,bonnies_data/msq_dataset_5.csv
